dataset,target,protocol,repeat,fold,r2
A,conductivity,grouped,5,5,0.2910073706431336
A,conductivity,grouped,5,6,-0.0709811728160838
A,conductivity,grouped,5,7,0.7322890744189178
A,conductivity,grouped,5,8,0.5458999434564
A,conductivity,grouped,5,9,-0.0511032667563493
A,conductivity,grouped,5,10,0.0001165648182028
A,conductivity,grouped,6,1,0.1880743182059417
A,conductivity,grouped,6,2,0.438510733065573
A,conductivity,grouped,6,3,0.7646868370842372
A,conductivity,grouped,6,4,0.6708367360062251
A,conductivity,grouped,6,5,0.4692012737090931
A,conductivity,grouped,6,6,-0.7310017970968268
A,conductivity,grouped,6,7,0.8270196769095365
A,conductivity,grouped,6,8,0.7306542907349496
A,conductivity,grouped,6,9,0.3056122386021137
A,conductivity,grouped,6,10,0.800840618481533
A,conductivity,grouped,7,1,0.5413004765881686
A,conductivity,grouped,7,2,0.3249417907832965
A,conductivity,grouped,7,3,0.3545594424525079
A,conductivity,grouped,7,4,0.7658823186382488
A,conductivity,grouped,7,5,0.5455752588049432
A,conductivity,grouped,7,6,0.3889834878155197
A,conductivity,grouped,7,7,0.7408815179927607
A,conductivity,grouped,7,8,-0.0280944767803053
A,conductivity,grouped,7,9,-0.4412240681815835
A,conductivity,grouped,7,10,0.5015217767859972
A,conductivity,grouped,8,1,0.7521585475337587
A,conductivity,grouped,8,2,0.3245541856645576
A,conductivity,grouped,8,3,0.1379306338419781
A,conductivity,grouped,8,4,0.8465012587571115
A,conductivity,grouped,8,5,0.0665122857617166
A,conductivity,grouped,8,6,0.6393374518349382
A,conductivity,grouped,8,7,0.8111519016438434
A,conductivity,grouped,8,8,-1.1047659847279272
A,conductivity,grouped,8,9,0.912266486314353
A,conductivity,grouped,8,10,0.2265010958992587
A,conductivity,grouped,9,1,-0.0565163852269439
A,conductivity,grouped,9,2,0.4395802041848754
A,conductivity,grouped,9,3,0.797140342416916
A,conductivity,grouped,9,4,0.8296342949618115
A,conductivity,grouped,9,5,0.5727323795022989
A,conductivity,grouped,9,6,-0.3387546148845257
A,conductivity,grouped,9,7,0.8491087866141409
A,conductivity,grouped,9,8,0.4256090026414187
A,conductivity,grouped,9,9,0.172311524651693
A,conductivity,grouped,9,10,0.6935157146127455
A,conductivity,grouped,10,1,0.3883970883008431
A,conductivity,grouped,10,2,0.3889980300230279
A,conductivity,grouped,10,3,0.3646574111880619
A,conductivity,grouped,10,4,0.776244728901976
A,conductivity,grouped,10,5,0.6323592870517323
A,conductivity,grouped,10,6,-0.8098624526340066
A,conductivity,grouped,10,7,-0.4606848505284304
A,conductivity,grouped,10,8,0.820742686648573
A,conductivity,grouped,10,9,0.407003055660141
A,conductivity,grouped,10,10,0.6952646499339915
B,UTS,grouped,1,1,0.6738474271499718
B,UTS,grouped,1,2,0.754395222573147
B,UTS,grouped,1,3,-0.0440477332801678
B,UTS,grouped,1,4,0.8549558591517598
B,UTS,grouped,1,5,0.8931428367674644
B,UTS,grouped,1,6,0.8407855948050394
B,UTS,grouped,1,7,0.8701355039903681
B,UTS,grouped,1,8,0.8116198624943517
B,UTS,grouped,1,9,-0.5044968914489503
B,UTS,grouped,1,10,0.6169492440530362
B,UTS,grouped,2,1,-0.0813514147838985
B,UTS,grouped,2,2,0.382174702747048
B,UTS,grouped,2,3,0.6069567019799536
B,UTS,grouped,2,4,0.6203347565931967
B,UTS,grouped,2,5,0.8639124978421081
B,UTS,grouped,2,6,0.8414280497798299
B,UTS,grouped,2,7,0.5121738129783638
B,UTS,grouped,2,8,0.6105815232863014
B,UTS,grouped,2,9,0.5127369281633163
B,UTS,grouped,2,10,0.7997376530473426
B,UTS,grouped,3,1,0.7426283463578225
B,UTS,grouped,3,2,0.9553306851270204
B,UTS,grouped,3,3,0.8279867698517421
B,UTS,grouped,3,4,0.4900182007649574
B,UTS,grouped,3,5,0.3773925386210275
B,UTS,grouped,3,6,0.2852743409438244
B,UTS,grouped,3,7,0.5896482381655905
B,UTS,grouped,3,8,0.8876060578655293
B,UTS,grouped,3,9,0.86007649186011
B,UTS,grouped,3,10,0.8346247819470418
B,UTS,grouped,4,1,0.6403985688813179
B,UTS,grouped,4,2,0.3146513955390361
B,UTS,grouped,4,3,0.8974307187896999
B,UTS,grouped,4,4,0.1984808059548333
B,UTS,grouped,4,5,0.82799894505549
B,UTS,grouped,4,6,0.6672399246024775
B,UTS,grouped,4,7,0.5716762457585312
B,UTS,grouped,4,8,0.5924467716248416
B,UTS,grouped,4,9,0.7526793912621286
B,UTS,grouped,4,10,0.7575738830935501
B,UTS,grouped,5,1,0.7198521389990384
B,UTS,grouped,5,2,0.65903035211706
B,UTS,grouped,5,3,0.8142386049337909
B,UTS,grouped,5,4,0.6225999980857541
B,UTS,grouped,5,5,0.8758340893606035
B,UTS,grouped,5,6,0.7242853909759135
B,UTS,grouped,5,7,0.6096805726965221
B,UTS,grouped,5,8,0.3267189302732728
