Ni,Si,Ce,La,cold_rolling_strain,annealing_T,annealing_t,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,hardness,is_cold_rolled,is_annealed,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
2.3,0.44,0.0,0.0,63.8,-1,-1.0,-1,-1.0,500,1.0,,44.8,232.62,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,80.0,-1,-1.0,-1,-1.0,500,1.0,638.24,46.37,236.14,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,400,4.0,708.0,25.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,4.0,715.0,26.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,420,4.0,727.0,26.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,430,4.0,737.0,27.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,440,4.0,720.0,27.3,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,450,4.0,707.0,27.7,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,400,6.0,710.0,26.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,400,8.0,712.0,26.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,400,10.0,715.0,27.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,718.0,26.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,8.0,722.0,27.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,10.0,725.0,27.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,420,6.0,725.0,27.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,420,8.0,724.0,27.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,420,10.0,723.0,28.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,430,6.0,735.0,27.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,430,8.0,730.0,28.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,430,10.0,720.0,28.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,440,6.0,715.0,28.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,440,8.0,710.0,28.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,440,10.0,705.0,29.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,450,6.0,700.0,28.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,450,8.0,695.0,29.0,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,450,10.0,690.0,29.5,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,728.0,25.1,226.0,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,729.0,25.3,227.0,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,730.0,25.42,227.0,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,732.0,25.67,228.0,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
3.2,0.725,0.0,0.0,40.0,-1,-1.0,-1,-1.0,410,6.0,733.0,25.37,,1,0,0,1,1.163150810118181,-0.321583622748152,-20.72326583694641,-20.72326583694641,2
