Ni,Si,Ce,La,cold_rolling_strain,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,is_cold_rolled,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
3.0,0.6,0.0,0.0,70.0,950,1.0,450,2.0,512.0,23.94,1,1,1,1.098612289001443,-0.5108256220993241,-20.72326583694641,-20.72326583694641,3
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,318.0,23.2,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,328.0,24.3,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,274.0,21.7,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,233.0,20.3,0,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,0
2.79,0.58,0.0,0.0,-1.0,900,1.0,-1,-1.0,184.0,19.1,0,1,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,25.0,-1,-1.0,-1,-1.0,302.0,21.5,1,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,379.0,21.0,1,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,75.0,-1,-1.0,-1,-1.0,447.0,21.8,1,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,97.5,-1,-1.0,-1,-1.0,601.0,22.3,1,0,0,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.79,0.58,0.0,0.0,97.5,-1,-1.0,450,1.0,758.0,54.5,1,0,1,1.026041596191697,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,734.0,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,726.7,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,-1,-1.0,733.2,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,685.0,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,690.1,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,65.0,-1,-1.0,-1,-1.0,684.1,,1,0,0,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,1
2.63,0.58,0.0,0.0,50.0,-1,-1.0,460,3.0,574.0,39.02,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,460,3.0,579.2,39.02,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,460,3.0,576.1,39.02,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,480,3.0,620.8,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,480,3.0,621.8,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,480,3.0,622.0,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,500,3.0,608.9,42.28,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,500,3.0,612.2,42.28,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,500,3.0,604.7,42.28,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,460,3.0,707.7,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,460,3.0,709.1,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,460,3.0,709.3,41.25,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,480,3.0,648.3,43.31,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,480,3.0,650.0,43.31,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,480,3.0,649.4,43.31,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,500,3.0,637.9,45.01,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,500,3.0,637.0,45.01,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,65.0,-1,-1.0,500,3.0,638.7,45.01,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
2.63,0.58,0.0,0.0,50.0,-1,-1.0,500,3.0,650.0,45.0,1,0,1,0.9669838465699012,-0.5447271737175342,-20.72326583694641,-20.72326583694641,2
3.2,0.75,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,198.0,21.2,0,0,0,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,0
3.2,0.75,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,220.0,17.4,0,0,0,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,0
3.2,0.75,0.0,0.0,-1.0,900,1.0,-1,-1.0,100.0,16.1,0,1,0,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,1
3.2,0.75,0.0,0.0,90.0,-1,-1.0,-1,-1.0,553.0,13.2,1,0,0,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,1
3.2,0.75,0.0,0.0,90.0,-1,-1.0,450,4.0,711.0,43.2,1,0,1,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,2
3.2,0.75,0.0,0.0,90.0,-1,-1.0,450,6.0,630.0,44.88,1,0,1,1.163150810118181,-0.2876820711184476,-20.72326583694641,-20.72326583694641,2
3.2,0.75,0.06,0.0,-1.0,-1,-1.0,-1,-1.0,217.0,19.6,0,0,0,1.163150810118181,-0.2876820711184476,-2.81341070009337,-20.72326583694641,0
3.2,0.75,0.06,0.0,-1.0,950,1.0,-1,-1.0,,18.0,0,1,0,1.163150810118181,-0.2876820711184476,-2.81341070009337,-20.72326583694641,1
3.2,0.75,0.06,0.0,90.0,-1,-1.0,450,1.0,747.0,44.9,1,0,1,1.163150810118181,-0.2876820711184476,-2.81341070009337,-20.72326583694641,2
4.95,1.19,0.0,0.0,-1.0,950,1.0,450,4.0,,49.0,0,1,1,1.599387576782619,0.1739533079637742,-20.72326583694641,-20.72326583694641,2
4.7,1.1,0.0,0.0,-1.0,950,1.0,450,4.0,,51.0,0,1,1,1.547562508928779,0.0953101807134159,-20.72326583694641,-20.72326583694641,2
4.5,1.1,0.0,0.0,-1.0,950,1.0,450,4.0,,51.0,0,1,1,1.504077396998496,0.0953101807134159,-20.72326583694641,-20.72326583694641,2
4.2,1.1,0.0,0.0,-1.0,950,1.0,450,4.0,,51.0,0,1,1,1.435084525527418,0.0953101807134159,-20.72326583694641,-20.72326583694641,2
4.0,0.9,0.0,0.0,-1.0,950,1.0,450,4.0,,52.0,0,1,1,1.386294361369891,-0.1053605145467152,-20.72326583694641,-20.72326583694641,2
3.6,0.9,0.0,0.0,-1.0,950,1.0,450,4.0,,51.0,0,1,1,1.280933845739842,-0.1053605145467152,-20.72326583694641,-20.72326583694641,2
3.3,0.8,0.0,0.0,-1.0,950,1.0,450,4.0,,50.0,0,1,1,1.193922468775465,-0.2231435500642097,-20.72326583694641,-20.72326583694641,2
3.1,0.8,0.0,0.0,-1.0,950,1.0,450,4.0,,51.0,0,1,1,1.131402111813681,-0.2231435500642097,-20.72326583694641,-20.72326583694641,2
2.6,0.6,0.0,0.0,-1.0,950,1.0,450,4.0,,39.0,0,1,1,0.9555114454120518,-0.5108256220993241,-20.72326583694641,-20.72326583694641,2
2.1,0.5,0.0,0.0,-1.0,950,1.0,450,4.0,,40.0,0,1,1,0.7419373452055679,-0.6931471785599453,-20.72326583694641,-20.72326583694641,2
1.5,0.4,0.0,0.0,-1.0,950,1.0,450,4.0,,48.0,0,1,1,0.4054651087748311,-0.9162907293741548,-20.72326583694641,-20.72326583694641,2
3.52,0.93,0.0,0.0,-1.0,950,1.0,450,4.0,,35.0,0,1,1,1.258460989894097,-0.0725706917595666,-20.72326583694641,-20.72326583694641,2
